boxID,magnification,imageName,specimenNR,formation,zh,oh,ow.m,ow.b,o.side,mpw.b,cw.m,cw.b,cw.d,c.side,zh.zw,oh.ow,ln.zh,ln.mpw.b,ln.cw.m,ln.cw.d,ln.ow.m,ln.oh,ln.o.side,ln.c.side
934_1306_384_639,x30,001i_CC_2_5v_x30_BSE,001iCC,NKBS,726.7211325,0.10570627,373.0395023,308.4219778,242.4385949,194.5585843,321.3587804,178.2254613,358.6442999,337.6767025,2.026300523,0.000283365,6.588542817,5.270733322,5.772558195,5.882331089,5.921684318,-2.247091067,5.490748461,5.822088936
647_1602_393_608,x30,001i_CC_2_5v_x30_BSE,001iCC,NKBS,772.8711293,0.100928346,395.0241382,314.1473885,223.9062695,200.9207205,337.9616916,179.6255974,380.3048644,391.3292829,2.032240977,0.000255499,6.65011232,5.302910405,5.822932551,5.940973206,5.978946872,-2.293344455,5.411227525,5.969549361
506_1031_380_681,x30,001i_CC_2_5v_x30_BSE,001iCC,NKBS,820.0788875,0.112419731,380.8307727,291.2202319,260.9662513,188.8411815,280.455242,130.1121369,331.0874245,405.0704334,2.476925509,0.000295196,6.70940054,5.240906352,5.636414147,5.802382463,5.94235511,-2.185515817,5.564391093,6.004060962
631_786_363_618,x30,001i_CC_2_5v_x30_BSE,001iCC,NKBS,745.0801137,0.115228043,368.7112702,292.7496919,276.8495501,183.3540521,309.5720126,200.3235084,330.9599195,334.167687,2.251269927,0.000312516,6.613491748,5.211418994,5.735190739,5.801997279,5.910013872,-2.160842131,5.623474218,5.811642924
424_63_479_568,x30,001i_CC_2_5v_x30_BSE,001iCC,NKBS,668.284235,0.111465784,426.218809,315.5614319,277.1932372,195.3407887,383.6624792,194.2434187,406.6577153,263.8973259,1.643358062,0.000261522,6.504713585,5.274745667,5.949763206,6.007971837,6.054952851,-2.194037608,5.62471487,5.575560111
112_758_414_573,x30,001i_CC_2_5v_x30_BSE,001iCC,NKBS,840.0377302,0.103460379,384.1802473,329.1241612,274.1931674,185.3040533,346.113999,172.2585754,403.1302813,416.5890583,2.083787225,0.000269302,6.733446808,5.221998007,5.846768198,5.999259788,5.951111836,-2.268566552,5.613832849,6.032100264
935_1860_440_516,x30,001i_CC_2_5v_x30_BSE,001iCC,NKBS,687.0416021,0.099371013,413.5301679,326.9243029,201.9997884,212.6409069,382.87029,200.3846686,425.1665456,364.9654251,1.615935236,0.000240299,6.532394847,5.35960486,5.947696263,6.052480964,6.024730469,-2.308894825,5.30826665,5.899802623
1045_347_433_565,x30,002i_CV_1_15v_x30_BSE,002iCV,NKBS,639.1487684,0.09574444,451.3435113,366.4889821,245.1775945,200.7512386,391.5935809,216.3478988,450.618946,285.8745883,1.418379707,0.000212132,6.460137242,5.302066523,5.970224518,6.110622073,6.112228715,-2.346072716,5.501982823,5.655553212
666_1719_425_497,x30,002i_CV_1_15v_x30_BSE,002iCV,NKBS,648.6492022,0.10326978,431.0690922,339.9700388,268.3608894,199.3901976,390.5282076,199.0142795,418.4038875,268.9106114,1.550294396,0.000239567,6.47489205,5.295263697,5.967500201,6.036447204,6.066268384,-2.270410494,5.592332677,5.594379025
348_689_450_544,x30,002i_CV_1_15v_x30_BSE,002iCV,NKBS,703.0012854,0.099172702,432.9600316,368.0200965,284.1003199,198.0816735,411.3679685,228.206546,472.2961391,298.6169309,1.488475613,0.000229057,6.55535872,5.288679438,6.019488115,6.157606202,6.070645418,-2.310892487,5.649327415,5.699161584
552_354_479_565,x30,002i_CV_1_15v_x30_BSE,002iCV,NKBS,657.6564932,0.10263103,419.2133719,357.5645245,297.8962449,160.4822596,403.1269039,253.3849742,425.9376072,253.5728101,1.544020725,0.000244818,6.488682748,5.078183405,5.99925141,6.054292874,6.038380031,-2.276614957,5.696745254,5.535651001
140_1061_453_569,x30,002i_CV_1_15v_x30_BSE,002iCV,NKBS,728.4259043,0.104856364,434.967973,348.059665,299.0805349,207.2649303,477.992736,271.7566781,482.5286799,319.0687412,1.509601262,0.000241067,6.590885911,5.333997831,6.169595536,6.179040359,6.075272403,-2.255163829,5.700712884,5.765406569
635_1038_441_547,x30,002i_CV_1_15v_x30_BSE,002iCV,NKBS,659.3002984,0.105631536,431.9683206,340.2262514,287.1746425,195.563701,362.691105,221.0543712,405.8634449,256.7160615,1.624438729,0.000244535,6.491179119,5.275886163,5.893551522,6.00601676,6.068352253,-2.247798318,5.660090541,5.547970655
