"boxID","magnification","imageName","colony.id","formation","zh","oh","ow.m","ow.b","o.side","mpw.b","cw.m","cw.b","cw.d","c.side","zh.zw","oh.ow","ln.zh","ln.mpw.b","ln.cw.m","ln.cw.d","ln.ow.m","ln.oh","ln.o.side","ln.c.side","zooid.id"
"443_456_207_299","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",391.419698461862,0.127096524103554,249.573479683806,216.574335782289,147.952406421803,87.7229957755908,249.453432088408,139.32905232879,268.384007114349,178.308518426226,1.45843153126144,0.000509254926703662,5.96978038190675,4.47418407453506,5.519272252835,5.5924188173101,5.5197533795834,-2.06280844889039,4.99689064381569,5.18351529953396,"443_456_207_299_077_CV_1_15v_x30_BSE"
"21_534_192_318","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",436.807750382418,0.140079419856844,225.783342197208,190.99189830007,149.231136958046,87.0843221251403,184.833214877173,88.2182600965258,225.294365226086,219.365829765417,1.93883122617858,0.000620415210855075,6.07949316782277,4.46687686909351,5.21945387724117,5.41740783703261,5.41957587661696,-1.96554573252622,5.00549635874466,5.39074079170729,"21_534_192_318_077_CV_1_15v_x30_BSE"
"310_591_199_265","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",337.215571602503,0.124978481315998,239.325133931188,208.156396451769,129.272164597568,95.766456294039,204.946243372512,117.347502954198,241.065332260279,151.292153615009,1.39885552369019,0.000522212102268926,5.82072240419108,4.56191248059393,5.32274771729962,5.48506798496981,5.47782302045281,-2.07961370597127,4.86191998493456,5.01921275966772,"310_591_199_265_077_CV_1_15v_x30_BSE"
"100_699_176_261","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",359.417911288765,0.148901557388059,211.027654796453,171.688548239974,138.588942101838,71.1295777632089,172.755806314223,94.5070697245964,203.639991000035,160.945295103805,1.76496723224027,0.000705602104765282,5.88448580974863,4.26450325259971,5.15187907316383,5.31635368483867,5.35198919027378,-1.90446988005836,4.93151230075796,5.08106452528154,"100_699_176_261_077_CV_1_15v_x30_BSE"
"212_390_224_249","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",344.010926454479,0.128976850111351,231.082029259872,205.13217183268,144.37515684078,91.71414674317,221.054371181285,129.093116934706,255.493296804778,154.931026108218,1.34645773786127,0.000558143143040801,5.84067341981803,4.51867663937211,5.39840869470368,5.54319617370186,5.44277275250802,-2.04812234722586,4.97241516761853,5.04298002503034,"212_390_224_249_077_CV_1_15v_x30_BSE"
"539_787_233_298","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",423.938280219952,0.147500871119331,200.751238623704,175.825837509394,149.746670952192,82.7060335718922,214.933597486063,131.703431942145,228.045402104575,208.206203989869,1.85900823391978,0.000734744513311885,6.04958787911729,4.41529255670687,5.37032913152199,5.4295447411679,5.30206652278893,-1.91392119732593,5.00894500604523,5.33852895395914,"539_787_233_298_077_CV_1_15v_x30_BSE"
"469_88_255_299","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",349.589707901483,0.12395572210106,253.293611030956,217.402586931071,140.994698804515,99.3667935136937,269.992413692925,157.39841042456,277.953630794045,161.226627629072,1.25772671831194,0.000489375636426578,5.85676020370696,4.59881798857022,5.59839386117002,5.62745430407381,5.53454933375607,-2.08783085697544,4.94872229254028,5.08281100023436,"469_88_255_299_077_CV_1_15v_x30_BSE"
"509_1001_219_294","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",413.747411680442,0.167794981205411,196.702161811137,151.536909554594,161.060994183,75.0054005106502,186.300634025138,92.0105733297073,200.669836482644,190.220852507168,2.06183160824087,0.000853040859645044,6.02525567091447,4.31756011775261,5.22736168084994,5.30166095294108,5.28169071573186,-1.78501239478005,5.08178313909763,5.2481857787347,"509_1001_219_294_077_CV_1_15v_x30_BSE"
"61_855_180_281","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",405.863444867759,0.151819881208753,209.804708390809,173.769506433997,156.181820781836,76.3546884571569,193.210295197569,114.291053273418,207.21894220511,186.005018972319,1.95862135260794,0.00072362475739083,6.0060167603356,4.33538943720766,5.26377920813077,5.33377592611562,5.34617713799259,-1.88506045284177,5.05102084639321,5.22577365707129,"61_855_180_281_077_CV_1_15v_x30_BSE"
"231_83_198_263","x30","077_CV_1_15v_x30_BSE","077CV","NKBS",350.674625983881,0.142718048567089,216.341605499305,178.645130068968,142.082920243297,76.7637184792938,155.719979450014,73.8898124661324,204.580534803564,155.212904121233,1.71411530584078,0.00065968840453829,5.85985880204462,4.34073211289601,5.0480593907747,5.32096171117914,5.37685866536027,-1.94688428340052,4.95641083254683,5.0447977494038,"231_83_198_263_077_CV_1_15v_x30_BSE"
