 ,Area,Mean,Min,Max,Angle,Length
1,30,114.313,83.414,255.000,-1.975,29.017
2,224,91.149,44.839,159.700,-76.524,223.143
3,214,114.434,35.402,172.113,-85.684,212.603
4,213,119.981,34.410,216.341,-98.664,212.424
5,231,120.898,66.146,187.133,-110.644,229.752
6,218,88.510,42.613,146.242,-119.876,216.813
7,220,118.745,40.739,178.064,-115.745,218.710
8,204,123.124,58.960,207.093,-103.694,202.763
9,240,128.017,32.309,188.556,-80.380,239.366
10,214,87.052,40.312,174.931,-73.352,212.925
11,247,124.094,35.549,176.431,-48.134,245.734
12,245,118.636,33.025,205.393,-58.392,244.229
13,225,125.776,37.313,209.553,-74.230,224.448
14,232,126.493,50.266,197.293,-80.538,231.145
15,218,117.334,28.359,173.198,-112.437,217.463
16,261,132.714,34.101,175.234,-55.821,259.887
17,209,123.236,39.609,186.087,-129.347,208.195
