 ,Area,Mean,Min,Max,Angle,Length
1,4.577E-4,162.733,138.000,255.000,0.000,0.113
2,0.003,106.590,54.278,174.778,-86.820,0.845
3,0.003,124.294,64.633,178.000,-87.123,0.778
4,0.003,118.355,62.352,184.814,-80.451,0.848
5,0.003,117.204,72.864,158.000,-78.627,0.693
6,0.003,112.679,59.585,166.488,-92.793,0.802
7,0.003,119.315,62.994,194.745,-81.069,0.830
8,0.004,132.530,75.029,175.137,-68.429,1.084
9,0.003,131.238,66.472,166.450,-81.536,0.663
10,0.003,121.088,63.855,173.077,-81.295,0.826
11,0.003,125.121,65.494,195.431,-81.757,0.845
12,0.003,130.842,72.035,173.860,-85.006,0.808
13,0.003,123.365,62.360,159.610,-82.345,0.733
14,0.003,117.073,64.864,175.432,-89.023,0.688
15,0.003,121.762,61.235,162.928,-84.588,0.745
16,0.003,121.859,70.392,167.201,-91.727,0.778
17,0.004,127.750,55.975,166.227,-91.444,0.930
18,0.003,141.196,63.372,185.022,-92.568,0.872
