 ,Area,Mean,Min,Max,Angle,Length
1,61,20.902,0.000,255.000,0.000,60.000
2,517,140.841,67.605,227.453,-91.998,516.314
3,479,148.740,81.274,219.696,-100.112,478.432
4,376,147.554,61.776,206.280,-87.252,375.432
5,474,150.222,66.600,232.448,-84.904,472.869
6,444,162.278,73.173,236.785,-84.560,442.995
7,438,158.047,79.534,215.501,-102.700,436.683
8,565,156.010,74.282,231.131,-100.414,564.295
