 ,Area,Mean,Min,Max,Angle,Length
1,29,75.655,38.000,255.000,0.000,28.000
2,265,111.145,36.876,198.995,-79.073,263.782
3,224,105.788,32.485,172.742,-94.379,222.650
4,258,104.407,31.825,164.572,-91.337,257.070
5,258,108.067,39.661,188.685,-90.223,257.002
6,230,98.198,29.238,162.566,-96.506,229.478
7,236,108.235,35.682,195.153,-97.337,234.923
8,196,102.396,39.392,207.817,-79.669,195.164
9,203,103.657,48.230,202.439,-81.750,202.092
10,202,90.505,28.991,166.950,-74.995,200.848
11,214,109.544,42.685,213.171,-67.401,213.385
12,209,106.493,56.406,177.857,-65.033,208.483
13,244,113.471,41.856,189.402,-113.819,242.668
