 ,Area,Mean,Min,Max,Angle,Length
1,5.035E-4,168.122,116.781,255.000,1.790,0.125
2,0.003,126.010,53.901,178.781,-81.757,0.845
3,0.003,121.520,43.884,180.056,-82.875,0.756
4,0.003,124.707,47.050,178.000,-89.427,0.781
5,0.003,116.756,49.750,169.531,-92.684,0.751
6,0.003,125.923,60.127,168.580,-126.005,0.724
7,0.003,120.821,49.796,173.980,-105.391,0.721
8,0.003,119.113,51.655,180.362,-89.012,0.680
9,0.003,102.546,29.042,200.190,-115.248,0.760
10,0.003,122.748,54.806,178.338,-80.961,0.870
11,0.003,124.907,45.587,198.346,-84.341,0.871
12,0.003,124.899,54.786,178.583,-79.148,0.768
13,0.003,119.320,51.215,174.016,-79.519,0.794
14,0.003,113.533,43.367,211.000,-88.831,0.766
15,0.003,128.597,48.510,184.127,-74.609,0.721
