 ,Area,Mean,Min,Max,Angle,Length
1,257,118.707,29.312,193.840,-60.033,256.258
2,227,90.600,43.168,157.261,-79.786,225.575
3,207,114.617,34.657,169.895,-85.259,205.704
4,207,122.689,31.702,214.396,-99.782,205.995
5,224,122.954,41.327,178.780,-117.255,222.729
6,217,88.265,39.634,145.062,-121.555,215.928
7,215,122.277,42.563,164.713,-119.314,214.462
8,210,122.672,61.911,182.190,-103.303,208.598
9,228,129.028,54.182,212.043,-78.838,227.299
10,227,115.505,48.134,180.433,-81.080,225.730
11,208,85.039,41.223,171.883,-72.002,207.135
12,226,124.532,33.336,204.085,-55.321,224.964
13,262,135.052,33.733,185.504,-55.763,261.276
14,224,125.916,32.361,185.357,-75.217,223.394
15,233,124.211,46.147,201.398,-80.092,232.467
16,212,111.344,57.578,158.503,-100.937,210.829
17,214,125.853,39.684,186.127,-115.244,213.378
18,207,120.390,74.388,161.660,-128.703,206.306
