 ,Area,Mean,Min,Max,Angle,Length
1,0.003,128.967,62.388,173.170,-73.659,0.777
2,0.003,123.775,54.960,182.024,-80.754,0.851
3,0.003,128.107,68.001,179.918,-79.334,0.886
4,0.003,129.220,46.678,182.195,-81.870,0.801
5,0.003,124.768,45.500,181.685,-92.005,0.782
6,0.003,122.529,55.000,169.087,-90.934,0.719
7,0.003,122.260,60.924,165.425,-124.091,0.774
8,0.003,116.982,33.799,180.416,-103.223,0.734
9,0.003,121.395,50.320,198.129,-82.915,0.697
10,0.003,115.617,45.222,180.611,-86.820,0.704
11,0.003,120.040,40.879,181.492,-78.842,0.868
12,0.003,114.066,44.462,184.188,-90.872,0.770
13,0.003,123.005,48.000,202.245,-87.663,0.766
14,0.003,117.360,53.000,197.000,-90.000,0.668
15,0.003,109.467,28.229,170.183,-114.925,0.732
16,0.003,131.899,53.788,181.499,-68.604,0.717
17,0.003,116.738,50.832,177.450,-73.887,0.732
18,0.003,122.836,34.441,177.678,-81.709,0.786
19,0.003,130.065,47.047,178.412,-83.623,0.668
20,0.003,125.297,46.865,178.623,-83.585,0.664
21,0.003,109.357,27.264,174.906,-108.346,0.794
22,0.003,122.541,76.625,166.308,-127.316,0.702
