 ,Area,Mean,Min,Max,Angle,Length
1,0.003,124.577,48.801,186.289,-115.033,0.849
2,0.003,134.472,34.676,191.401,-77.626,0.784
3,0.003,135.812,52.379,175.361,-71.996,0.821
4,0.003,127.734,53.381,175.403,-36.983,0.792
5,0.003,128.854,58.790,214.000,-116.565,0.751
6,0.003,128.244,49.084,194.606,-98.416,0.774
7,0.003,119.272,29.834,193.241,-108.435,0.741
8,0.003,135.456,63.552,199.078,-65.606,0.738
9,0.004,147.798,41.618,190.876,-45.516,0.920
10,0.003,129.950,63.040,176.780,-37.826,0.796
11,0.003,141.859,76.372,173.067,-12.496,0.740
12,0.003,133.996,51.358,202.694,-28.465,0.738
13,0.003,134.782,46.502,192.000,-65.130,0.827
14,0.003,136.434,45.000,209.500,-91.245,0.719
15,0.004,133.830,45.841,200.748,-107.257,0.961
16,0.003,132.300,54.262,191.898,-83.032,0.708
