 ,Area,Mean,Min,Max,Angle,Length
1,221,100.363,42.953,184.604,114.466,219.729
2,219,104.010,30.075,180.697,86.046,217.518
3,269,107.492,38.687,198.351,-85.503,267.825
4,250,102.632,30.000,163.952,-91.840,249.128
5,259,108.409,34.000,190.000,-90.000,258.000
6,249,94.781,33.629,174.968,-90.462,248.008
7,231,96.391,48.043,149.129,-104.097,229.924
8,239,108.523,49.069,175.191,-100.649,238.101
9,195,104.267,33.274,208.874,-81.703,194.031
10,202,104.085,47.103,210.027,-81.146,201.400
11,202,89.119,30.660,166.477,-74.720,201.109
12,219,109.338,35.659,192.835,-65.904,217.995
13,200,102.637,33.825,201.817,-64.463,199.489
14,267,87.532,33.910,155.878,-66.716,265.633
15,226,102.370,19.603,200.090,-76.643,225.089
16,221,90.237,44.964,166.191,-90.521,220.009
17,248,111.713,36.631,205.751,-118.740,247.487
18,245,104.062,33.752,193.539,-122.975,244.364
